Birth Card,AGE,Mercury,Venus,Mars,Jupiter,Saturn ,Uranus,Neptune,LONG RANGE,PLUTO,RESULT,SUPPORT,DEVELOPMENT
2♥,0,K♥,K♦,6♥,4♣,2♦,J♠,8♣,K♥,6♦,4♠,None,None
2♥,1,10♦,Q♥,4♣,Q♦,2♣,A♠,9♥,K♦,4♦,J♥,None,None
2♥,2,6♠,8♥,Q♦,3♦,A♥,4♠,8♣,6♥,J♦,10♠,None,None
2♥,3,8♦,6♦,3♦,5♦,9♠,K♥,9♥,4♣,5♣,J♥,None,None
2♥,4,K♣,A♠,5♦,9♦,Q♣,10♠,8♣,2♦,10♥,9♣,None,None
2♥,5,J♠,J♦,9♦,K♦,2♠,6♠,9♥,J♠,6♥,J♥,None,None
2♥,6,6♣,K♥,K♦,3♣,Q♠,9♣,8♣,8♣,4♦,3♠,None,None
2♥,7,4♠,10♥,3♣,8♥,8♠,K♣,9♥,10♦,Q♦,J♥,None,None
2♥,8,A♦,6♠,8♥,7♠,7♣,3♠,8♣,Q♥,5♣,J♣,None,None
2♥,9,10♠,4♦,7♠,A♠,2♦,6♣,9♥,4♣,5♦,J♥,None,None
2♥,10,3♥,K♣,A♠,7♥,10♣,J♣,8♣,Q♦,6♥,5♠,None,None
2♥,11,9♣,5♣,7♥,K♥,A♥,A♦,9♥,2♣,K♦,J♥,None,None
2♥,12,10♦,6♣,K♥,2♣,4♥,5♠,8♣,A♠,Q♦,5♥,None,None
2♥,13,3♠,6♥,2♣,6♠,Q♣,3♥,9♥,9♥,8♥,J♥,None,None
2♥,14,8♦,A♦,6♠,9♠,Q♥,5♥,8♣,6♠,5♦,4♣,None,None
2♥,15,J♣,Q♦,9♠,K♣,Q♠,10♦,9♥,8♥,A♠,J♥,None,None
2♥,16,J♠,3♥,K♣,2♠,6♦,4♣,8♣,Q♦,K♦,3♦,None,None
2♥,17,5♠,5♦,2♠,6♣,7♣,8♦,9♥,3♦,K♥,J♥,None,None
2♥,18,4♠,10♦,6♣,8♠,J♦,3♦,8♣,A♥,8♥,9♦,None,None
2♥,19,5♥,K♦,8♠,A♦,10♣,J♠,9♥,4♠,6♠,J♥,None,None
2♥,20,10♠,8♦,A♦,2♦,10♥,9♦,8♣,8♣,A♠,3♣,None,None
2♥,21,4♣,8♥,2♦,3♥,4♥,4♠,9♥,8♦,K♣,J♥,None,None
2♥,22,9♣,J♠,3♥,A♥,4♦,3♣,8♣,6♦,K♥,7♠,None,None
2♥,23,3♦,A♠,A♥,10♦,Q♥,10♠,9♥,3♦,6♣,J♥,None,None
2♥,24,3♠,4♠,10♦,Q♣,5♣,7♠,8♣,5♦,6♠,7♥,None,None
2♥,25,9♦,K♥,Q♣,8♦,6♦,9♣,9♥,9♠,A♦,J♥,None,None
2♥,26,J♣,10♠,8♦,Q♠,6♥,7♥,8♣,K♥,K♣,2♣,None,None
2♥,27,3♣,6♠,Q♠,J♠,J♦,3♠,9♥,9♥,3♥,J♥,None,None
2♥,28,5♠,9♣,J♠,7♣,Q♦,2♣,8♣,K♣,6♣,9♠,None,None
2♥,29,7♠,K♣,7♣,4♠,10♥,J♣,9♥,A♠,10♦,J♥,None,None
2♥,30,5♥,3♠,4♠,10♣,5♦,9♠,8♣,5♦,A♦,2♠,None,None
2♥,31,7♥,6♣,10♣,10♠,4♦,5♠,9♦,9♥,8♦,J♥,None,None
2♥,32,4♣,J♣,10♠,4♥,K♦,2♠,8♣,Q♣,3♥,8♠,None,None
2♥,33,2♣,A♦,4♥,9♣,5♣,5♥,9♥,10♠,J♠,J♥,None,None
2♥,34,3♦,5♠,9♣,Q♥,8♥,8♠,8♣,8♣,10♦,2♦,None,None
2♥,35,9♠,3♥,Q♥,3♠,6♥,4♣,9♥,J♠,4♠,J♥,None,None
2♥,36,9♦,5♥,3♠,6♦,A♠,2♦,8♣,J♦,8♦,A♥,None,None
2♥,37,2♠,10♦,6♦,J♣,Q♦,3♦,9♥,9♦,10♠,J♥,None,None
2♥,38,3♣,4♣,J♣,J♦,K♥,A♥,8♣,K♦,J♠,Q♣,None,None
2♥,39,8♠,8♦,J♦,5♠,5♦,9♦,9♥,2♠,9♣,J♥,None,None
2♥,40,7♠,3♦,5♠,10♥,6♠,Q♣,8♣,6♠,4♠,Q♠,None,None
2♥,41,2♦,J♠,10♥,5♥,K♦,3♣,9♥,9♥,3♠,J♥,None,None
2♥,42,7♥,9♦,5♥,4♦,K♣,Q♠,8♣,6♣,10♠,7♣,None,None
2♥,43,A♥,4♠,4♦,4♣,8♥,7♠,9♥,K♥,J♣,J♥,None,None
2♥,44,2♣,3♣,4♣,5♣,6♣,7♣,8♣,K♦,9♣,10♠,None,None
2♥,45,Q♣,10♠,5♣,3♦,A♠,7♥,9♥,3♣,5♠,J♥,None,None
2♥,46,9♠,7♠,3♦,6♥,A♦,10♣,8♣,Q♠,3♠,4♥,None,None
2♥,47,Q♠,9♣,6♥,9♦,K♥,2♣,9♥,9♣,5♥,J♥,None,None
2♥,48,2♠,7♥,9♦,Q♦,3♥,4♥,8♣,8♣,J♣,Q♥,None,None
2♥,49,7♣,3♠,Q♦,3♣,6♠,9♠,9♥,4♠,4♣,J♥,None,None
2♥,50,8♠,2♣,3♣,5♦,10♦,Q♥,8♣,10♥,5♠,6♦,None,None
2♥,51,10 ♣,J♣,5♦,7♠,K♣,2♠,9♥,3♣,3♦,J♥,None,None
2♥,52,2♦,9♠,7♠,K♦,8♦,6♦,8♣,8♥,5♥,J♦,None,None
2♥,53,4♥,5♠,K♦,7♥,6♣,8♠,9♥,8♠,9♦,J♥,None,None
2♥,54,A♥,2♠,7♥,8♥,J♠,J♦,8♣,K♣,4♣,10♥,None,None
